Database,OutputField,BarnebyLives
Symbiota,Catalog Number,NA
Symbiota,Additional Identifier Values,NA
Symbiota,Collector,Primary_Collector
Symbiota,Associated Collectors,Associated_Collectors
Symbiota,Number,Collection_number
Symbiota,Date,Date_digital
Symbiota,Verbatim Date,Date_digital_vd
Symbiota,Year,Date_digital_yr
Symbiota,Month,Date_digital_mo
Symbiota,Day,Date_digital_day
Symbiota,Day of year range,NA
Symbiota,Scientific Name,Full_name
Symbiota,Author,Name_authority
Symbiota,Identification Qualifier,NA
Symbiota,Family,Family
Symbiota,Identified By,Determined_by
Symbiota,Date Identified,Determined_date
Symbiota,ID References,Fide
Symbiota,ID Remarks,NA
Symbiota,Taxon Remarks,NA
Symbiota,Country,Country
Symbiota,State/Province,State
Symbiota,Muncipality,NA
Symbiota,Locality,Site
Symbiota,Location ID,NA
Symbiota,Locality Security,NA
Symbiota,Latitude,latitude_dd
Symbiota,Longitude,longitude_dd
Symbiota,Uncertainty (meters),Coordinate_Uncertainty
Symbiota,Datum,Datum
Symbiota,Verbatim Coordinates,NA
Symbiota,Elevation in Meters,elevation_m
Symbiota,Verbatim Elevation,elevation_m_cp
Symbiota,Depth in Meters,NA
Symbiota,Verbatim Depth,NA
Symbiota,Georeferenced By,NA
Symbiota,Georeference Protocol,NA
Symbiota,Georeference Sources,NA
Symbiota,Georef Verification Status,NA
Symbiota,Georeference Remarks,NA
Symbiota,Habitat,Habitat
Symbiota,Substrate,NA
Symbiota,Associated Taxa,Vegetation_Associates
Symbiota,Description,Notes
Symbiota,Notes,NA
Symbiota,Dynamic Properties,NA
Symbiota,Life Stage,NA
Symbiota,Sex,NA
Symbiota,Individual Count,NA
Symbiota,Sampling Protocol,NA
Symbiota,Preparations,NA
Symbiota,Phenology,NA
Symbiota,Establishment Means,NA
Symbiota,Cultivated Checkbox,NA
Symbiota,Type Status,NA
Symbiota,Disposition,NA
Symbiota,Occurrence Id,NA
Symbiota,Field Number,NA
Symbiota,Owner Code,NA
Symbiota,Basis of Record,NA
Symbiota,Language,NA
Symbiota,Processing Status,NA
Symbiota,Label Project,Project_name
Symbiota,Duplicate Quantity,NA
JEPS,Coll_Num,Collection_number
JEPS,Coll_Date,Date_digital_text
JEPS,Main_Collector,Primary_Collector
JEPS,Other_Collectors,Associated_Collectors
JEPS,ScientificName,Name_authority
JEPS,DeterminedBy,Determined_by
JEPS,Det_Date_Display,Determined_date_text
JEPS,Label_Header,Project_name
JEPS,Label_Footer,NA
JEPS,Plant_Description,Notes
JEPS,Comments,NA
JEPS,Habitat,Habitat
JEPS,Associated_Taxa,Vegetation_Associates
JEPS,Country,Country
JEPS,State_Province,State
JEPS,County,County
JEPS,Latitude,latitude_dd
JEPS,Longitude,longitude_dd
JEPS,Datum,Datum
JEPS,Coordinate_Uncertainty_In_Meters,Coordinate_Uncertainty
JEPS,Coordinate_Source,NA
JEPS,Elevation,elevation_m
JEPS,Elevation_Units,Elevation_Units
JEPS,Sex,NA
JEPS,Phase,NA
JEPS,Cultivated,NA
JEPS,Accession_Number,NA
